date,account_id,account_name,vendor,currency,cost,supplier_country,purchase_country,description_or_memo,custom_field_business_unit,custom_field_region
2022-01-01,20005x,Marketing and Advertising,Google Ads,AUD,13800,,,,Business Unit Delta ,APAC
2022-01-01,20002x,Office Furniture,Haworth,USD,191000,,,,Business Unit Delta ,Latin America
2022-01-01,20002x,Office Furniture,Herman Miller,EUR,159000,,,,Business Unit Alpha ,Europe
2022-01-01,20011x,Insurance,UnitedHealth Group,AUD,38200,,,,Business Unit Bravo,APAC
2022-01-01,20011x,Insurance,Aetna,AUD,32000,,,,Business Unit Charlie,APAC
2022-01-01,20006x,Tax Preparation,Price Waterhouse Cooper,USD,18400,,,,Business Unit Bravo,Latin America
2022-01-01,20008x,Travel Meals,American Express Global Business Travel,USD,42900,,,,Business Unit Echo,Latin America
2022-01-01,20002x,Office Furniture,Steelcase,EUR,0,,,,Business Unit Charlie,Europe
2022-01-01,20001x,Software,Salesforce,EUR,393000,,,,Business Unit Bravo,Europe
2022-01-01,20003x,Office Supplies,W.B. Mason,USD,0,,,,Business Unit Alpha ,North America
2022-01-01,20001x,Software,Google,USD,570000,,,,Business Unit Charlie,Latin America
2022-01-01,20003x,Office Supplies,Amazon Business,USD,88000,,,,Business Unit Delta ,North America
2022-01-01,20006x,Tax Preparation,Price Waterhouse Cooper,EUR,0,,,,Business Unit Delta ,Europe
2022-01-01,20005x,Marketing and Advertising,The Trade Desk,EUR,19000,,,,Business Unit Echo,Europe
2022-01-01,20009x,Computer Equipment ,Samsung,USD,0,,,,Business Unit Echo,North America
2022-01-01,20005x,Marketing and Advertising,The Trade Desk,USD,28600,,,,Business Unit Bravo,North America
2022-01-01,20007x,Management Consulting ,Accenture,USD,14000,,,,Business Unit Echo,Latin America
2022-01-01,20009x,Computer Equipment ,Dell Technologies,USD,14800,,,,Business Unit Alpha ,North America
2022-01-01,20009x,Computer Equipment ,Dell Technologies,USD,36000,,,,Business Unit Charlie,North America
2022-01-01,20001x,Software,Salesforce,USD,0,,,,Business Unit Delta ,North America
2022-01-01,20007x,Management Consulting ,Bain & Company,EUR,0,,,,Business Unit Charlie,Europe
2022-01-01,20001x,Software,SAP,USD,432000,,,,Business Unit Delta ,North America
2022-01-01,20008x,Travel Meals,Egencia,USD,31500,,,,Business Unit Delta ,Latin America
2022-01-01,20009x,Computer Equipment ,Lenovo,AUD,13200,,,,Business Unit Alpha ,APAC
2022-01-01,20005x,Marketing and Advertising,Instagram Ads),EUR,14400,,,,Business Unit Alpha ,Europe
2022-01-01,20001x,Software,SAP,EUR,447000,,,,Business Unit Bravo,Europe
2022-01-01,20011x,Insurance,Aetna,EUR,0,,,,Business Unit Delta ,Europe
2022-01-01,20008x,Travel Meals,CWT,USD,43500,,,,Business Unit Echo,North America
2022-01-01,20007x,Management Consulting ,Deloitte Consulting,EUR,21800,,,,Business Unit Delta ,Europe
2022-02-01,20009x,Computer Equipment ,HP Inc.,AUD,0,,,,Business Unit Delta ,APAC
2022-02-01,20004x,Cloud Spend,Microsoft Azure,EUR,56800,,,,Business Unit Delta ,Europe
2022-02-01,20004x,Cloud Spend,Amazon Web Services (AWS),AUD,62400,,,,Business Unit Delta ,APAC
2022-02-01,20009x,Computer Equipment ,Dell Technologies,EUR,38200,,,,Business Unit Charlie,Europe
2022-02-01,20002x,Office Furniture,Herman Miller,USD,74000,,,,Business Unit Alpha ,Latin America
2022-02-01,20004x,Cloud Spend,Google Cloud Platform (GCP),AUD,0,,,,Business Unit Echo,APAC
2022-02-01,20007x,Management Consulting ,McKinsey & Company,USD,0,,,,Business Unit Alpha ,Latin America
2022-02-01,20007x,Management Consulting ,Accenture,AUD,25800,,,,Business Unit Delta ,APAC
