date,vendor_entity,location_city,location_subdivision,location_country,nights_stayed,room_count,custom_field_business_unit,custom_field_region
2022-01-01,Hilton Hotels,Osaka-Kobe,,United States,15,1,Business Unit Charlie,Latin America
2022-01-01,Best Western Hotels & Resorts,Chicago,,Mexico,24,1,Business Unit Delta ,Europe
2022-01-01,Hilton Hotels,Houston,,United States,20,1,Business Unit Charlie,Latin America
2022-01-01,InterContinental Hotels Group (IHG),Washington D.C.,,United States,21,1,Business Unit Alpha ,APAC
2022-01-01,InterContinental Hotels Group (IHG),Tokyo,,United States,30,1,Business Unit Delta ,Latin America
2022-01-01,Accor,Osaka-Kobe,,United Kingdom,23,1,Business Unit Bravo,North America
2022-01-01,Choice Hotels International,Mumbai,,United States,21,1,Business Unit Delta ,APAC
2022-01-01,Four Seasons,Beijing,,Argentina,25,1,Business Unit Alpha ,Europe
2022-01-01,Hyatt Hotels Corporation,New York City,,China,25,1,Business Unit Charlie,North America
2022-01-01,InterContinental Hotels Group (IHG),Sao Paulo,,United States,29,1,Business Unit Charlie,APAC
2022-01-01,Choice Hotels International,Dallas-Fort Worth,,United States,25,1,Business Unit Echo,Europe
2022-01-01,Best Western Hotels & Resorts,Hong Kong,,Mexico,20,1,Business Unit Bravo,Latin America
2022-01-01,Choice Hotels International,Houston,,United States,27,1,Business Unit Delta ,Latin America
2022-01-01,Hyatt Hotels Corporation,Shanghai,,China,18,1,Business Unit Delta ,North America
2022-01-01,Jin Jiang International,Houston,,China,26,1,Business Unit Charlie,Latin America
2022-01-01,Best Western Hotels & Resorts,Atlanta,,Mexico,23,1,Business Unit Charlie,North America
2022-01-01,Best Western Hotels & Resorts,San Francisco Bay Area,,Mexico,20,1,Business Unit Echo,Latin America
2022-01-01,Four Seasons,Beijing,,Argentina,27,1,Business Unit Bravo,Europe
2022-01-01,Four Seasons,Buenos Aires,,Argentina,21,1,Business Unit Charlie,Europe
2022-01-01,Jin Jiang International,Paris,,China,26,1,Business Unit Echo,North America
