date,account_id,account_name,vendor,currency,cost,supplier_country,purchase_country,description_or_memo,custom_field_business_unit,custom_field_region
2022-01-01,10005x,Light Machinery,Bosch Group,EUR,0,,,,Business Unit Delta ,Europe
2022-01-01,10002x,Heavy Equipment,Caterpillar,AUD,89500,,,,Business Unit Charlie,APAC
2022-01-01,10002x,Heavy Equipment,Deere & Company,EUR,34000,,,,Business Unit Charlie,Europe
2022-01-01,10003x,Office Fit Out,Cushman & Wakefield,USD,77000,,,,Business Unit Charlie,Latin America
2022-01-01,10002x,Heavy Equipment,Komatsu,EUR,56000,,,,Business Unit Delta ,Europe
2022-01-01,10002x,Heavy Equipment,Deere & Company,EUR,75500,,,,Business Unit Echo,Europe
2022-01-01,10004x,Technical Equipment,Robert Bosch GmbH,AUD,0,,,,Business Unit Delta ,APAC
2022-01-01,10001x,Construction,McCarthy Holdings,USD,256500,,,,Business Unit Charlie,North America
2022-01-01,10005x,Light Machinery,Snap-on Incorporated,USD,11100,,,,Business Unit Charlie,Latin America
2022-01-01,10001x,Construction,AECOM,AUD,205500,,,,Business Unit Alpha ,APAC
2022-01-01,10001x,Construction,DPR Construction,USD,186000,,,,Business Unit Charlie,Latin America
2022-01-01,10003x,Office Fit Out,JLL,EUR,43500,,,,Business Unit Alpha ,Europe
2022-01-01,10002x,Heavy Equipment,Caterpillar,EUR,43500,,,,Business Unit Bravo,Europe
2022-01-01,10004x,Technical Equipment,Honeywell International,USD,31400,,,,Business Unit Charlie,North America
2022-01-01,10003x,Office Fit Out,Cushman & Wakefield,EUR,67500,,,,Business Unit Alpha ,Europe
2022-01-01,10001x,Construction,Bechtel Corporation,EUR,234000,,,,Business Unit Delta ,Europe
2022-01-01,10005x,Light Machinery,Stanley Black & Decker,EUR,5200,,,,Business Unit Charlie,Europe
2022-01-01,10005x,Light Machinery,Techtronic Industries,AUD,15900,,,,Business Unit Charlie,APAC
